reg,def_func,def_addr,def_instr,use_func,use_addr,use_instr,cross_func,dfi_violation,violation_reason,def_source,indirect_type
rbp,<unknown>,0x0,undefined source for rbp,attack_01,0x134b,push %rbp,No,OK,,unknown,-
rsp,attack_01,0x134b,push %rbp,attack_01,0x134c,"mov %rsp,%rbp",No,OK,,local,-
rsp,attack_01,0x134b,push %rbp,attack_01,0x134f,"sub $0x10,%rsp",No,OK,,local,-
rax,attack_01,0x1353,"lea 0xd1b(%rip),%rax",attack_01,0x135a,"mov %rax,%rdi",No,OK,,local,-
rax,attack_01,0x1367,"mov 0x2d1a(%rip),%rax",attack_01,0x136e,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rbp,attack_01,0x134c,"mov %rsp,%rbp",attack_01,0x136e,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rax,attack_01,0x1372,"mov 0x2d08(%rip),%eax",attack_01,0x1378,"cmp $0x1,%eax",No,OK,,local,-
rax,attack_01,0x137d,"mov 0x2c34(%rip),%rax",attack_01,0x1384,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rbp,attack_01,0x134c,"mov %rsp,%rbp",attack_01,0x1384,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rbp,attack_01,0x134c,"mov %rsp,%rbp",attack_01,0x1388,"mov -0x8(%rbp),%rax",No,OK,,local,-
rax,attack_01,0x1388,"mov -0x8(%rbp),%rax",attack_01,0x138c,call *%rax,No,WARNING,indirect call reg_based target rax L1: defined at 0x1388,local,reg_based
rax,attack_01,0x137d,"mov 0x2c34(%rip),%rax",attack_01,0x138c,call *%rax,No,WARNING,indirect call reg_based target rax L2: defined at 0x137d,local,reg_based
data_segment,attack_01,0x137d,← data segment [rip+0x2c34],attack_01,0x138c,call *%rax,No,WARNING,indirect call reg_based target rax L3: terminal (param) at attack_01,synthetic,reg_based
rbp,attack_01,0x134c,"mov %rsp,%rbp",attack_01,0x138f,leave,No,OK,,local,-
rsp,attack_01,0x138f,leave,attack_01,0x1390,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,attack_02,0x1395,push %rbp,No,OK,,unknown,-
rsp,attack_02,0x1395,push %rbp,attack_02,0x1396,"mov %rsp,%rbp",No,OK,,local,-
rsp,attack_02,0x1395,push %rbp,attack_02,0x1399,"sub $0x20,%rsp",No,OK,,local,-
rax,attack_02,0x139d,"mov %fs:0x28,%rax",attack_02,0x13a6,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rbp,attack_02,0x1396,"mov %rsp,%rbp",attack_02,0x13a6,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rax,attack_02,0x139d,"mov %fs:0x28,%rax",attack_02,0x13aa,"xor %eax,%eax",No,OK,,local,-
rax,attack_02,0x13ac,"lea 0xcd9(%rip),%rax",attack_02,0x13b3,"mov %rax,%rdi",No,OK,,local,-
rax,attack_02,0x13bb,"mov 0x2c06(%rip),%rax",attack_02,0x13c2,"mov %rax,-0x20(%rbp)",No,OK,,local,-
rbp,attack_02,0x1396,"mov %rsp,%rbp",attack_02,0x13c2,"mov %rax,-0x20(%rbp)",No,OK,,local,-
rbp,attack_02,0x1396,"mov %rsp,%rbp",attack_02,0x13c6,"lea -0x20(%rbp),%rax",No,OK,,local,-
rax,attack_02,0x13c6,"lea -0x20(%rbp),%rax",attack_02,0x13ca,"mov %rax,-0x18(%rbp)",No,OK,,local,-
rbp,attack_02,0x1396,"mov %rsp,%rbp",attack_02,0x13ca,"mov %rax,-0x18(%rbp)",No,OK,,local,-
rax,attack_02,0x13ce,"mov 0x2cac(%rip),%eax",attack_02,0x13d4,"cmp $0x1,%eax",No,OK,,local,-
rax,attack_02,0x13d9,"mov 0x2bf8(%rip),%rax",attack_02,0x13e0,"mov %rax,-0x20(%rbp)",No,OK,,local,-
rbp,attack_02,0x1396,"mov %rsp,%rbp",attack_02,0x13e0,"mov %rax,-0x20(%rbp)",No,OK,,local,-
rbp,attack_02,0x1396,"mov %rsp,%rbp",attack_02,0x13e4,"mov -0x18(%rbp),%rax",No,OK,,local,-
rax,attack_02,0x13e4,"mov -0x18(%rbp),%rax",attack_02,0x13e8,"mov (%rax),%rax",No,OK,,local,-
rax,attack_02,0x13e8,"mov (%rax),%rax",attack_02,0x13eb,"mov %rax,-0x10(%rbp)",No,OK,,local,-
rbp,attack_02,0x1396,"mov %rsp,%rbp",attack_02,0x13eb,"mov %rax,-0x10(%rbp)",No,OK,,local,-
rbp,attack_02,0x1396,"mov %rsp,%rbp",attack_02,0x13ef,"mov -0x10(%rbp),%rax",No,OK,,local,-
rax,attack_02,0x13ef,"mov -0x10(%rbp),%rax",attack_02,0x13f3,call *%rax,No,WARNING,indirect call reg_based target rax L1: defined at 0x13ef,local,reg_based
rax,attack_02,0x13e8,"mov (%rax),%rax",attack_02,0x13f3,call *%rax,No,WARNING,indirect call reg_based target rax L2: defined at 0x13e8,local,reg_based
rax,attack_02,0x13e4,"mov -0x18(%rbp),%rax",attack_02,0x13f3,call *%rax,No,WARNING,indirect call reg_based target rax L3: defined at 0x13e4,local,reg_based
rax,attack_02,0x13c6,"lea -0x20(%rbp),%rax",attack_02,0x13f3,call *%rax,No,WARNING,indirect call reg_based target rax L4: defined at 0x13c6,local,reg_based
rax,attack_02,0x13bb,"mov 0x2c06(%rip),%rax",attack_02,0x13f3,call *%rax,No,WARNING,indirect call reg_based target rax L5: defined at 0x13bb,local,reg_based
data_segment,attack_02,0x13bb,← data segment [rip+0x2c06],attack_02,0x13f3,call *%rax,No,WARNING,indirect call reg_based target rax L6: terminal (param) at attack_02,synthetic,reg_based
rbp,attack_02,0x1396,"mov %rsp,%rbp",attack_02,0x13f6,"mov -0x8(%rbp),%rax",No,OK,,local,-
rax,attack_02,0x13f6,"mov -0x8(%rbp),%rax",attack_02,0x13fa,"sub %fs:0x28,%rax",No,OK,,local,-
rbp,attack_02,0x1396,"mov %rsp,%rbp",attack_02,0x140a,leave,No,OK,,local,-
rsp,attack_02,0x140a,leave,attack_02,0x140b,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,attack_03,0x1410,push %rbp,No,OK,,unknown,-
rsp,attack_03,0x1410,push %rbp,attack_03,0x1411,"mov %rsp,%rbp",No,OK,,local,-
rsp,attack_03,0x1410,push %rbp,attack_03,0x1414,"sub $0x10,%rsp",No,OK,,local,-
rax,attack_03,0x1418,"lea 0xc84(%rip),%rax",attack_03,0x141f,"mov %rax,%rdi",No,OK,,local,-
rax,attack_03,0x1427,"mov 0x2c53(%rip),%eax",attack_03,0x142d,"mov %eax,-0xc(%rbp)",No,OK,,local,-
rbp,attack_03,0x1411,"mov %rsp,%rbp",attack_03,0x142d,"mov %eax,-0xc(%rbp)",No,OK,,local,-
rbp,attack_03,0x1411,"mov %rsp,%rbp",attack_03,0x1430,"mov -0xc(%rbp),%eax",No,OK,,local,-
rax,attack_03,0x1430,"mov -0xc(%rbp),%eax",attack_03,0x1433,"test %eax,%eax",No,OK,,local,-
rax,attack_03,0x1437,"mov 0x2b72(%rip),%rax",attack_03,0x143e,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rbp,attack_03,0x1411,"mov %rsp,%rbp",attack_03,0x143e,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rax,attack_03,0x1444,"mov 0x2b6d(%rip),%rax",attack_03,0x144b,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rbp,attack_03,0x1411,"mov %rsp,%rbp",attack_03,0x144b,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rbp,attack_03,0x1411,"mov %rsp,%rbp",attack_03,0x144f,"mov -0x8(%rbp),%rax",No,OK,,local,-
rax,attack_03,0x144f,"mov -0x8(%rbp),%rax",attack_03,0x1453,call *%rax,No,WARNING,indirect call reg_based target rax L1: defined at 0x144f,local,reg_based
rax,attack_03,0x1444,"mov 0x2b6d(%rip),%rax",attack_03,0x1453,call *%rax,No,WARNING,indirect call reg_based target rax L2: defined at 0x1444,local,reg_based
data_segment,attack_03,0x1444,← data segment [rip+0x2b6d],attack_03,0x1453,call *%rax,No,WARNING,indirect call reg_based target rax L3: terminal (param) at attack_03,synthetic,reg_based
rbp,attack_03,0x1411,"mov %rsp,%rbp",attack_03,0x1456,leave,No,OK,,local,-
rsp,attack_03,0x1456,leave,attack_03,0x1457,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,attack_04,0x145c,push %rbp,No,OK,,unknown,-
rsp,attack_04,0x145c,push %rbp,attack_04,0x145d,"mov %rsp,%rbp",No,OK,,local,-
rsp,attack_04,0x145c,push %rbp,attack_04,0x1460,"sub $0x10,%rsp",No,OK,,local,-
rax,attack_04,0x1464,"lea 0xc50(%rip),%rax",attack_04,0x146b,"mov %rax,%rdi",No,OK,,local,-
rbp,attack_04,0x145d,"mov %rsp,%rbp",attack_04,0x1473,"movl $0x1,-0x8(%rbp)",No,OK,,local,-
rax,attack_04,0x147a,"mov 0x2b2f(%rip),%rax",attack_04,0x1481,"mov %rax,-0x10(%rbp)",No,OK,,local,-
rbp,attack_04,0x145d,"mov %rsp,%rbp",attack_04,0x1481,"mov %rax,-0x10(%rbp)",No,OK,,local,-
rax,attack_04,0x1485,"mov 0x2bf5(%rip),%eax",attack_04,0x148b,"cmp $0x1,%eax",No,OK,,local,-
rax,attack_04,0x1490,"mov 0x2b41(%rip),%rax",attack_04,0x1497,"mov %rax,-0x10(%rbp)",No,OK,,local,-
rbp,attack_04,0x145d,"mov %rsp,%rbp",attack_04,0x1497,"mov %rax,-0x10(%rbp)",No,OK,,local,-
rbp,attack_04,0x145d,"mov %rsp,%rbp",attack_04,0x149b,"mov -0x10(%rbp),%rax",No,OK,,local,-
rax,attack_04,0x149b,"mov -0x10(%rbp),%rax",attack_04,0x149f,call *%rax,No,WARNING,indirect call reg_based target rax L1: defined at 0x149b,local,reg_based
rax,attack_04,0x1490,"mov 0x2b41(%rip),%rax",attack_04,0x149f,call *%rax,No,WARNING,indirect call reg_based target rax L2: defined at 0x1490,local,reg_based
data_segment,attack_04,0x1490,← data segment [rip+0x2b41],attack_04,0x149f,call *%rax,No,WARNING,indirect call reg_based target rax L3: terminal (param) at attack_04,synthetic,reg_based
rbp,attack_04,0x145d,"mov %rsp,%rbp",attack_04,0x14a2,leave,No,OK,,local,-
rsp,attack_04,0x14a2,leave,attack_04,0x14a3,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,a05_get_ptr,0x14a8,push %rbp,No,OK,,unknown,-
rsp,a05_get_ptr,0x14a8,push %rbp,a05_get_ptr,0x14a9,"mov %rsp,%rbp",No,OK,,local,-
rsp,a05_get_ptr,0x14a8,push %rbp,a05_get_ptr,0x14b3,pop %rbp,No,OK,,local,-
rsp,a05_get_ptr,0x14a8,push %rbp,a05_get_ptr,0x14b4,ret,No,OK,,local,ret
