function,address,instruction,src_regs(USE),dst_regs(DEF),indirect_call,indirect_jump,is_ret,indirect_type,indirect_severity,dfi_violation,violation_reason
attack_02,0x1401,00,-,-,No,No,No,-,none,OK,none
attack_02,0x1403,je 140a <attack_02+0x79>,-,-,No,No,No,-,none,OK,none
attack_02,0x1405,call 1180 <__stack_chk_fail@plt>,-,rax,No,No,No,-,none,OK,none
attack_02,0x140a,leave,rbp,"rsp,rbp",No,No,No,-,none,OK,none
attack_02,0x140b,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
attack_03,0x140c,endbr64,-,-,No,No,No,-,none,OK,none
attack_03,0x1410,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
attack_03,0x1411,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
attack_03,0x1414,"sub $0x10,%rsp",rsp,rsp,No,No,No,-,none,OK,none
attack_03,0x1418,"lea 0xc84(%rip),%rax",-,rax,No,No,No,-,none,OK,none
attack_03,0x141f,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
attack_03,0x1422,call 1120 <puts@plt>,-,rax,No,No,No,-,none,OK,none
attack_03,0x1427,"mov 0x2c53(%rip),%eax",-,rax,No,No,No,-,none,OK,none
attack_03,0x142d,"mov %eax,-0xc(%rbp)","rax,rbp",-,No,No,No,-,none,OK,none
attack_03,0x1430,"mov -0xc(%rbp),%eax",rbp,rax,No,No,No,-,none,OK,none
attack_03,0x1433,"test %eax,%eax",rax,-,No,No,No,-,none,OK,none
attack_03,0x1435,jne 1444 <attack_03+0x38>,-,-,No,No,No,-,none,OK,none
attack_03,0x1437,"mov 0x2b72(%rip),%rax",-,rax,No,No,No,-,none,OK,none
attack_03,0x143e,"mov %rax,-0x8(%rbp)","rax,rbp",-,No,No,No,-,none,OK,none
attack_03,0x1442,jmp 144f <attack_03+0x43>,-,-,No,No,No,-,none,OK,none
attack_03,0x1444,"mov 0x2b6d(%rip),%rax",-,rax,No,No,No,-,none,OK,none
attack_03,0x144b,"mov %rax,-0x8(%rbp)","rax,rbp",-,No,No,No,-,none,OK,none
attack_03,0x144f,"mov -0x8(%rbp),%rax",rbp,rax,No,No,No,-,none,OK,none
attack_03,0x1453,call *%rax,rax,rax,Yes,No,No,reg_based,high,WARNING,indirect call reg_based target rax L1: defined at 0x144f; indirect call reg_based target rax L2: defined at 0x1444; indirect call reg_based target rax L3: terminal (param) at attack_03
attack_03,0x1455,nop,-,-,No,No,No,-,none,OK,none
attack_03,0x1456,leave,rbp,"rsp,rbp",No,No,No,-,none,OK,none
attack_03,0x1457,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
attack_04,0x1458,endbr64,-,-,No,No,No,-,none,OK,none
attack_04,0x145c,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
attack_04,0x145d,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
attack_04,0x1460,"sub $0x10,%rsp",rsp,rsp,No,No,No,-,none,OK,none
attack_04,0x1464,"lea 0xc50(%rip),%rax",-,rax,No,No,No,-,none,OK,none
attack_04,0x146b,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
attack_04,0x146e,call 1120 <puts@plt>,-,rax,No,No,No,-,none,OK,none
attack_04,0x1473,"movl $0x1,-0x8(%rbp)",rbp,-,No,No,No,-,none,OK,none
attack_04,0x147a,"mov 0x2b2f(%rip),%rax",-,rax,No,No,No,-,none,OK,none
attack_04,0x1481,"mov %rax,-0x10(%rbp)","rax,rbp",-,No,No,No,-,none,OK,none
attack_04,0x1485,"mov 0x2bf5(%rip),%eax",-,rax,No,No,No,-,none,OK,none
attack_04,0x148b,"cmp $0x1,%eax",rax,-,No,No,No,-,none,OK,none
attack_04,0x148e,jne 149b <attack_04+0x43>,-,-,No,No,No,-,none,OK,none
attack_04,0x1490,"mov 0x2b41(%rip),%rax",-,rax,No,No,No,-,none,OK,none
attack_04,0x1497,"mov %rax,-0x10(%rbp)","rax,rbp",-,No,No,No,-,none,OK,none
