function,address,instruction,src_regs(USE),dst_regs(DEF),indirect_call,indirect_jump,is_ret,indirect_type,indirect_severity,dfi_violation,violation_reason
test13_lea_target@plt,0x22aa,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
printf@plt,0x22b0,endbr64,-,-,No,No,No,-,none,OK,none
printf@plt,0x22b4,jmp *0x2d86(%rip),-,-,No,Yes,No,got_based,low,OK,none
printf@plt,0x22ba,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
attack_a2_double_ptr@plt,0x22c0,endbr64,-,-,No,No,No,-,none,OK,none
attack_a2_double_ptr@plt,0x22c4,jmp *0x2d7e(%rip),-,-,No,Yes,No,got_based,low,OK,none
attack_a2_double_ptr@plt,0x22ca,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
ret_chain_mid@plt,0x22d0,endbr64,-,-,No,No,No,-,none,OK,none
ret_chain_mid@plt,0x22d4,jmp *0x2d76(%rip),-,-,No,Yes,No,got_based,low,OK,none
ret_chain_mid@plt,0x22da,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
attack_a4_struct_replace@plt,0x22e0,endbr64,-,-,No,No,No,-,none,OK,none
attack_a4_struct_replace@plt,0x22e4,jmp *0x2d6e(%rip),-,-,No,Yes,No,got_based,low,OK,none
attack_a4_struct_replace@plt,0x22ea,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test04_stack_fptr@plt,0x22f0,endbr64,-,-,No,No,No,-,none,OK,none
test04_stack_fptr@plt,0x22f4,jmp *0x2d66(%rip),-,-,No,Yes,No,got_based,low,OK,none
test04_stack_fptr@plt,0x22fa,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
ret_chain_deep@plt,0x2300,endbr64,-,-,No,No,No,-,none,OK,none
ret_chain_deep@plt,0x2304,jmp *0x2d5e(%rip),-,-,No,Yes,No,got_based,low,OK,none
ret_chain_deep@plt,0x230a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
attack_a3_branch@plt,0x2310,endbr64,-,-,No,No,No,-,none,OK,none
attack_a3_branch@plt,0x2314,jmp *0x2d56(%rip),-,-,No,Yes,No,got_based,low,OK,none
attack_a3_branch@plt,0x231a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
attack_a7_table_poison@plt,0x2320,endbr64,-,-,No,No,No,-,none,OK,none
attack_a7_table_poison@plt,0x2324,jmp *0x2d4e(%rip),-,-,No,Yes,No,got_based,low,OK,none
attack_a7_table_poison@plt,0x232a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
attack_a5_returned_hijack@plt,0x2330,endbr64,-,-,No,No,No,-,none,OK,none
attack_a5_returned_hijack@plt,0x2334,jmp *0x2d46(%rip),-,-,No,Yes,No,got_based,low,OK,none
attack_a5_returned_hijack@plt,0x233a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
malloc@plt,0x2340,endbr64,-,-,No,No,No,-,none,OK,none
malloc@plt,0x2344,jmp *0x2d3e(%rip),-,-,No,Yes,No,got_based,low,OK,none
malloc@plt,0x234a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test02_local_fptr@plt,0x2350,endbr64,-,-,No,No,No,-,none,OK,none
test02_local_fptr@plt,0x2354,jmp *0x2d36(%rip),-,-,No,Yes,No,got_based,low,OK,none
