jump_instr_address,jump_instr,instr_len,instr_content,instr_bytes,jump_type,parent_function_name,parent_function_start,target_address,target_function_name,target_function_start
0x23e4,jmp,6,jmp *0x2cee(%rip)        # 50d8 <test17_nested_struct@@Base+0x2634>,ff 25 ee 2c 00 00,间接跳转,test17_nested_struct@plt,0x23e0,,,
0x23f4,jmp,6,jmp *0x2ce6(%rip)        # 50e0 <test16_returned_fptr@@Base+0x266e>,ff 25 e6 2c 00 00,间接跳转,test16_returned_fptr@plt,0x23f0,,,
0x2404,jmp,6,jmp *0x2cde(%rip)        # 50e8 <attack_a6_heap_callback@@Base+0x2421>,ff 25 de 2c 00 00,间接跳转,attack_a6_heap_callback@plt,0x2400,,,
0x2414,jmp,6,jmp *0x2cd6(%rip)        # 50f0 <test12_switch@@Base+0x288f>,ff 25 d6 2c 00 00,间接跳转,test12_switch@plt,0x2410,,,
0x2431,je,2,je 2448 <deregister_tm_clones+0x28>,74 15,条件跳转,deregister_tm_clones,0x2420,,,
0x243d,je,2,je 2448 <deregister_tm_clones+0x28>,74 09,条件跳转,deregister_tm_clones,0x2420,,,
0x243f,jmp,2,jmp *%rax,ff e0,间接跳转,deregister_tm_clones,0x2420,,,
0x2448,ret,1,ret,c3,函数返回,deregister_tm_clones,0x2420,,,
0x2472,je,2,je 2488 <register_tm_clones+0x38>,74 14,条件跳转,register_tm_clones,0x2450,,,
0x247e,je,2,je 2488 <register_tm_clones+0x38>,74 08,条件跳转,register_tm_clones,0x2450,,,
0x2480,jmp,2,jmp *%rax,ff e0,间接跳转,register_tm_clones,0x2450,,,
0x2488,ret,1,ret,c3,函数返回,register_tm_clones,0x2450,,,
0x249b,jne,2,jne 24c8 <__do_global_dtors_aux+0x38>,75 2b,条件跳转,__do_global_dtors_aux,0x2490,,,
0x24a9,je,2,je 24b7 <__do_global_dtors_aux+0x27>,74 0c,条件跳转,__do_global_dtors_aux,0x2490,,,
0x24b2,call,5,call 2220 <__cxa_finalize@plt>,e8 69 fd ff ff,函数调用,__do_global_dtors_aux,0x2490,,,
0x24b7,call,5,call 2420 <deregister_tm_clones>,e8 64 ff ff ff,函数调用,__do_global_dtors_aux,0x2490,,,
0x24c4,ret,1,ret,c3,函数返回,__do_global_dtors_aux,0x2490,,,
0x24c8,ret,1,ret,c3,函数返回,__do_global_dtors_aux,0x2490,,,
0x24d4,jmp,5,jmp 2450 <register_tm_clones>,e9 77 ff ff ff,无条件跳转,frame_dummy,0x24d0,,,
0x24eb,call,5,call 2260 <puts@plt>,e8 70 fd ff ff,函数调用,target_a,0x24d9,,,
0x24f2,ret,1,ret,c3,函数返回,target_a,0x24d9,,,
0x2505,call,5,call 2260 <puts@plt>,e8 56 fd ff ff,函数调用,target_b,0x24f3,,,
0x250c,ret,1,ret,c3,函数返回,target_b,0x24f3,,,
0x251f,call,5,call 2260 <puts@plt>,e8 3c fd ff ff,函数调用,target_c,0x250d,,,
0x2526,ret,1,ret,c3,函数返回,target_c,0x250d,,,
0x2539,call,5,call 2260 <puts@plt>,e8 22 fd ff ff,函数调用,target_d,0x2527,,,
0x2540,ret,1,ret,c3,函数返回,target_d,0x2527,,,
0x2553,ret,1,ret,c3,函数返回,target_calc,0x2541,,,
0x2587,call,5,call 22b0 <printf@plt>,e8 24 fd ff ff,函数调用,target_args,0x2554,,,
0x258e,ret,1,ret,c3,函数返回,target_args,0x2554,,,
0x25a1,call,5,call 2260 <puts@plt>,e8 ba fc ff ff,函数调用,evil_x,0x258f,,,
0x25a8,ret,1,ret,c3,函数返回,evil_x,0x258f,,,
0x25bb,call,5,call 2260 <puts@plt>,e8 a0 fc ff ff,函数调用,evil_y,0x25a9,,,
0x25c2,ret,1,ret,c3,函数返回,evil_y,0x25a9,,,
0x25d5,call,5,call 2260 <puts@plt>,e8 86 fc ff ff,函数调用,test01_global_fptr,0x25c3,,,
0x25e4,call,2,call *%rax,ff d0,间接调用,test01_global_fptr,0x25c3,,,
0x25e8,ret,1,ret,c3,函数返回,test01_global_fptr,0x25c3,,,
0x25ff,call,5,call 2260 <puts@plt>,e8 5c fc ff ff,函数调用,test02_local_fptr,0x25e9,,,
0x2613,call,2,call *%rax,ff d0,间接调用,test02_local_fptr,0x25e9,,,
0x2617,ret,1,ret,c3,函数返回,test02_local_fptr,0x25e9,,,
0x263b,call,5,call 22b0 <printf@plt>,e8 70 fc ff ff,函数调用,test03_table_fptr,0x2618,,,
0x2644,js,2,js 2666 <test03_table_fptr+0x4e>,78 20,条件跳转,test03_table_fptr,0x2618,,,
0x264a,jg,2,jg 2666 <test03_table_fptr+0x4e>,7f 1a,条件跳转,test03_table_fptr,0x2618,,,
0x2664,call,2,call *%rax,ff d0,间接调用,test03_table_fptr,0x2618,,,
0x2668,ret,1,ret,c3,函数返回,test03_table_fptr,0x2618,,,
0x267f,call,5,call 2260 <puts@plt>,e8 dc fb ff ff,函数调用,test04_stack_fptr,0x2669,,,
0x269b,call,2,call *%rax,ff d0,间接调用,test04_stack_fptr,0x2669,,,
0x269f,ret,1,ret,c3,函数返回,test04_stack_fptr,0x2669,,,
0x26b6,call,5,call 2260 <puts@plt>,e8 a5 fb ff ff,函数调用,test05_vtable,0x26a0,,,
0x26dc,call,2,call *%rax,ff d0,间接调用,test05_vtable,0x26a0,,,
0x26e0,ret,1,ret,c3,函数返回,test05_vtable,0x26a0,,,
0x26f5,call,2,call *%rax,ff d0,间接调用,call_via_fp,0x26e1,,,
0x26f9,ret,1,ret,c3,函数返回,call_via_fp,0x26e1,,,
0x270c,call,5,call 2260 <puts@plt>,e8 4f fb ff ff,函数调用,test06_callback,0x26fa,,,
0x271b,call,5,call 26e1 <call_via_fp>,e8 c1 ff ff ff,函数调用,test06_callback,0x26fa,,,
0x2722,ret,1,ret,c3,函数返回,test06_callback,0x26fa,,,
0x2739,call,5,call 2260 <puts@plt>,e8 22 fb ff ff,函数调用,test07_indirect_jump,0x2723,,,
0x274d,call,2,call *%rax,ff d0,间接调用,test07_indirect_jump,0x2723,,,
0x2751,ret,1,ret,c3,函数返回,test07_indirect_jump,0x2723,,,
