reg,def_func,def_addr,def_instr,use_func,use_addr,use_instr,cross_func,dfi_violation,violation_reason,def_source,indirect_type
rax,target_args,0x2578,"lea 0xab1(%rip),%rax",target_args,0x257f,"mov %rax,%rdi",No,OK,,local,-
rbp,target_args,0x2559,"mov %rsp,%rbp",target_args,0x258d,leave,No,OK,,local,-
rsp,target_args,0x258d,leave,target_args,0x258e,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,evil_x,0x2593,push %rbp,No,OK,,unknown,-
rsp,evil_x,0x2593,push %rbp,evil_x,0x2594,"mov %rsp,%rbp",No,OK,,local,-
rax,evil_x,0x2597,"lea 0xaa2(%rip),%rax",evil_x,0x259e,"mov %rax,%rdi",No,OK,,local,-
rsp,evil_x,0x2593,push %rbp,evil_x,0x25a7,pop %rbp,No,OK,,local,-
rsp,evil_x,0x2593,push %rbp,evil_x,0x25a8,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,evil_y,0x25ad,push %rbp,No,OK,,unknown,-
rsp,evil_y,0x25ad,push %rbp,evil_y,0x25ae,"mov %rsp,%rbp",No,OK,,local,-
rax,evil_y,0x25b1,"lea 0xab0(%rip),%rax",evil_y,0x25b8,"mov %rax,%rdi",No,OK,,local,-
rsp,evil_y,0x25ad,push %rbp,evil_y,0x25c1,pop %rbp,No,OK,,local,-
rsp,evil_y,0x25ad,push %rbp,evil_y,0x25c2,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,test01_global_fptr,0x25c7,push %rbp,No,OK,,unknown,-
rsp,test01_global_fptr,0x25c7,push %rbp,test01_global_fptr,0x25c8,"mov %rsp,%rbp",No,OK,,local,-
rax,test01_global_fptr,0x25cb,"lea 0xabb(%rip),%rax",test01_global_fptr,0x25d2,"mov %rax,%rdi",No,OK,,local,-
rax,test01_global_fptr,0x25da,"mov 0x29d7(%rip),%rax",test01_global_fptr,0x25e1,"mov (%rax),%rax",No,OK,,local,-
rax,test01_global_fptr,0x25e1,"mov (%rax),%rax",test01_global_fptr,0x25e4,call *%rax,No,WARNING,indirect call reg_based target rax L1: defined at 0x25e1,local,reg_based
