reg,def_func,def_addr,def_instr,use_func,use_addr,use_instr,cross_func,dfi_violation,violation_reason,def_source,indirect_type
rsp,test_target_arg,0x1437,push %rbp,test_target_arg,0x143b,"sub $0x10,%rsp",No,OK,,local,-
rdi,test_target_arg,0x0,<param:rdi>,test_target_arg,0x143f,"mov %edi,-0x4(%rbp)",No,OK,,parameter,-
rbp,test_target_arg,0x1438,"mov %rsp,%rbp",test_target_arg,0x143f,"mov %edi,-0x4(%rbp)",No,OK,,local,-
rsi,test_target_arg,0x0,<param:rsi>,test_target_arg,0x1442,"mov %esi,-0x8(%rbp)",No,OK,,parameter,-
rbp,test_target_arg,0x1438,"mov %rsp,%rbp",test_target_arg,0x1442,"mov %esi,-0x8(%rbp)",No,OK,,local,-
rdx,test_target_arg,0x0,<param:rdx>,test_target_arg,0x1445,"mov %edx,-0xc(%rbp)",No,OK,,parameter,-
rbp,test_target_arg,0x1438,"mov %rsp,%rbp",test_target_arg,0x1445,"mov %edx,-0xc(%rbp)",No,OK,,local,-
rbp,test_target_arg,0x1438,"mov %rsp,%rbp",test_target_arg,0x1448,"mov -0x4(%rbp),%edx",No,OK,,local,-
rbp,test_target_arg,0x1438,"mov %rsp,%rbp",test_target_arg,0x144b,"mov -0x8(%rbp),%eax",No,OK,,local,-
rax,test_target_arg,0x144b,"mov -0x8(%rbp),%eax",test_target_arg,0x144e,"add %eax,%edx",No,OK,,local,-
rdx,test_target_arg,0x1448,"mov -0x4(%rbp),%edx",test_target_arg,0x144e,"add %eax,%edx",No,OK,,local,-
rbp,test_target_arg,0x1438,"mov %rsp,%rbp",test_target_arg,0x1450,"mov -0xc(%rbp),%eax",No,OK,,local,-
rdx,test_target_arg,0x144e,"add %eax,%edx",test_target_arg,0x1453,"add %edx,%eax",No,OK,,local,-
rax,test_target_arg,0x1450,"mov -0xc(%rbp),%eax",test_target_arg,0x1453,"add %edx,%eax",No,OK,,local,-
rax,test_target_arg,0x1453,"add %edx,%eax",test_target_arg,0x1455,"mov %eax,%esi",No,OK,,local,-
rax,test_target_arg,0x1457,"lea 0xbe6(%rip),%rax",test_target_arg,0x145e,"mov %rax,%rdi",No,OK,,local,-
rbp,test_target_arg,0x1438,"mov %rsp,%rbp",test_target_arg,0x146c,leave,No,OK,,local,-
rsp,test_target_arg,0x146c,leave,test_target_arg,0x146d,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,test01_global_fptr_call,0x1472,push %rbp,No,OK,,unknown,-
rsp,test01_global_fptr_call,0x1472,push %rbp,test01_global_fptr_call,0x1473,"mov %rsp,%rbp",No,OK,,local,-
rax,test01_global_fptr_call,0x1476,"lea 0xbdb(%rip),%rax",test01_global_fptr_call,0x147d,"mov %rax,%rdi",No,OK,,local,-
rax,test01_global_fptr_call,0x1485,"mov 0x2b2c(%rip),%rax",test01_global_fptr_call,0x148c,"mov (%rax),%rax",No,OK,,local,-
rax,test01_global_fptr_call,0x148c,"mov (%rax),%rax",test01_global_fptr_call,0x148f,call *%rax,No,WARNING,indirect call reg_based target rax L1: defined at 0x148c,local,reg_based
rax,test01_global_fptr_call,0x1485,"mov 0x2b2c(%rip),%rax",test01_global_fptr_call,0x148f,call *%rax,No,WARNING,indirect call reg_based target rax L2: defined at 0x1485,local,reg_based
data_segment,test01_global_fptr_call,0x1485,← data segment [rip+0x2b2c],test01_global_fptr_call,0x148f,call *%rax,No,WARNING,indirect call reg_based target rax L3: terminal (param) at test01_global_fptr_call,synthetic,reg_based
rsp,test01_global_fptr_call,0x1472,push %rbp,test01_global_fptr_call,0x1492,pop %rbp,No,OK,,local,-
rsp,test01_global_fptr_call,0x1472,push %rbp,test01_global_fptr_call,0x1493,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,test02_local_fptr_call,0x1498,push %rbp,No,OK,,unknown,-
rsp,test02_local_fptr_call,0x1498,push %rbp,test02_local_fptr_call,0x1499,"mov %rsp,%rbp",No,OK,,local,-
rsp,test02_local_fptr_call,0x1498,push %rbp,test02_local_fptr_call,0x149c,"sub $0x10,%rsp",No,OK,,local,-
rax,test02_local_fptr_call,0x14a0,"lea 0xbd9(%rip),%rax",test02_local_fptr_call,0x14a7,"mov %rax,%rdi",No,OK,,local,-
rax,test02_local_fptr_call,0x14af,"mov 0x2aea(%rip),%rax",test02_local_fptr_call,0x14b6,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rbp,test02_local_fptr_call,0x1499,"mov %rsp,%rbp",test02_local_fptr_call,0x14b6,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rbp,test02_local_fptr_call,0x1499,"mov %rsp,%rbp",test02_local_fptr_call,0x14ba,"mov -0x8(%rbp),%rax",No,OK,,local,-
rax,test02_local_fptr_call,0x14ba,"mov -0x8(%rbp),%rax",test02_local_fptr_call,0x14be,call *%rax,No,WARNING,indirect call reg_based target rax L1: defined at 0x14ba,local,reg_based
rax,test02_local_fptr_call,0x14af,"mov 0x2aea(%rip),%rax",test02_local_fptr_call,0x14be,call *%rax,No,WARNING,indirect call reg_based target rax L2: defined at 0x14af,local,reg_based
data_segment,test02_local_fptr_call,0x14af,← data segment [rip+0x2aea],test02_local_fptr_call,0x14be,call *%rax,No,WARNING,indirect call reg_based target rax L3: terminal (param) at test02_local_fptr_call,synthetic,reg_based
rbp,test02_local_fptr_call,0x1499,"mov %rsp,%rbp",test02_local_fptr_call,0x14c1,leave,No,OK,,local,-
rsp,test02_local_fptr_call,0x14c1,leave,test02_local_fptr_call,0x14c2,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,test03_table_fptr_call,0x14c7,push %rbp,No,OK,,unknown,-
rsp,test03_table_fptr_call,0x14c7,push %rbp,test03_table_fptr_call,0x14c8,"mov %rsp,%rbp",No,OK,,local,-
rsp,test03_table_fptr_call,0x14c7,push %rbp,test03_table_fptr_call,0x14cb,"sub $0x10,%rsp",No,OK,,local,-
rdi,test03_table_fptr_call,0x0,<param:rdi>,test03_table_fptr_call,0x14cf,"mov %edi,-0x4(%rbp)",No,OK,,parameter,-
rbp,test03_table_fptr_call,0x14c8,"mov %rsp,%rbp",test03_table_fptr_call,0x14cf,"mov %edi,-0x4(%rbp)",No,OK,,local,-
rbp,test03_table_fptr_call,0x14c8,"mov %rsp,%rbp",test03_table_fptr_call,0x14d2,"mov -0x4(%rbp),%eax",No,OK,,local,-
rax,test03_table_fptr_call,0x14d2,"mov -0x4(%rbp),%eax",test03_table_fptr_call,0x14d5,"mov %eax,%esi",No,OK,,local,-
rax,test03_table_fptr_call,0x14d7,"lea 0xbca(%rip),%rax",test03_table_fptr_call,0x14de,"mov %rax,%rdi",No,OK,,local,-
rbp,test03_table_fptr_call,0x14c8,"mov %rsp,%rbp",test03_table_fptr_call,0x14eb,"cmpl $0x0,-0x4(%rbp)",No,OK,,local,-
rbp,test03_table_fptr_call,0x14c8,"mov %rsp,%rbp",test03_table_fptr_call,0x14f1,"cmpl $0x3,-0x4(%rbp)",No,OK,,local,-
rbp,test03_table_fptr_call,0x14c8,"mov %rsp,%rbp",test03_table_fptr_call,0x14f7,"mov -0x4(%rbp),%eax",No,OK,,local,-
rax,test03_table_fptr_call,0x1504,"lea 0x2bf5(%rip),%rax",test03_table_fptr_call,0x150f,call *%rax,No,WARNING,indirect call reg_based target rax L1: defined at 0x1504,local,reg_based
data_segment,test03_table_fptr_call,0x1504,← data segment [rip+0x2bf5],test03_table_fptr_call,0x150f,call *%rax,No,WARNING,indirect call reg_based target rax L2: terminal (param) at test03_table_fptr_call,synthetic,reg_based
rbp,test03_table_fptr_call,0x14c8,"mov %rsp,%rbp",test03_table_fptr_call,0x1512,leave,No,OK,,local,-
rsp,test03_table_fptr_call,0x1512,leave,test03_table_fptr_call,0x1513,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,test04_stack_fptr_call,0x1518,push %rbp,No,OK,,unknown,-
rsp,test04_stack_fptr_call,0x1518,push %rbp,test04_stack_fptr_call,0x1519,"mov %rsp,%rbp",No,OK,,local,-
rsp,test04_stack_fptr_call,0x1518,push %rbp,test04_stack_fptr_call,0x151c,"sub $0x10,%rsp",No,OK,,local,-
rax,test04_stack_fptr_call,0x1520,"lea 0xba9(%rip),%rax",test04_stack_fptr_call,0x1527,"mov %rax,%rdi",No,OK,,local,-
