reg,def_func,def_addr,def_instr,use_func,use_addr,use_instr,cross_func,dfi_violation,violation_reason,def_source,indirect_type
rax,test_indirect_jump,0x122d,"lea 0xe10(%rip),%rax",test_indirect_jump,0x1234,"mov %rax,%rdi",No,OK,,local,-
rax,test_indirect_jump,0x1241,"mov 0x2d80(%rip),%rax",test_indirect_jump,0x1248,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rbp,test_indirect_jump,0x121e,"mov %rsp,%rbp",test_indirect_jump,0x1248,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rbp,test_indirect_jump,0x121e,"mov %rsp,%rbp",test_indirect_jump,0x124c,"cmpl $0x0,-0x14(%rbp)",No,OK,,local,-
eflags,test_indirect_jump,0x124c,"cmpl $0x0,-0x14(%rbp)",test_indirect_jump,0x1250,jne 125d <test_indirect_jump+0x44>,No,OK,,local,-
rbp,test_indirect_jump,0x121e,"mov %rsp,%rbp",test_indirect_jump,0x1252,"mov -0x8(%rbp),%rax",No,OK,,local,-
rax,test_indirect_jump,0x1252,"mov -0x8(%rbp),%rax",test_indirect_jump,0x125b,call *%rax,No,WARNING,indirect call reg_based target rax L1: defined at 0x1252,local,reg_based
rbp,test_indirect_jump,0x121e,"mov %rsp,%rbp",test_indirect_jump,0x125e,leave,No,OK,,local,-
rsp,test_indirect_jump,0x125e,leave,test_indirect_jump,0x125f,ret,No,OK,ret target rsp L1: defined at 0x125e (leave),local,ret
rbp,test_indirect_jump,0x121e,"mov %rsp,%rbp",test_indirect_jump,0x125f,ret,No,OK,"ret target rbp L2: defined at 0x121e (mov %rsp,%rbp)",local,ret
rsp,test_indirect_jump,0x121d,push %rbp,test_indirect_jump,0x125f,ret,No,OK,ret target rsp L3: defined at 0x121d (push %rbp),local,ret
rbp,<unknown>,0x0,undefined source for rbp,test_ff_instructions,0x1264,push %rbp,No,OK,,unknown,-
rsp,test_ff_instructions,0x1264,push %rbp,test_ff_instructions,0x1265,"mov %rsp,%rbp",No,OK,,local,-
