function,address,instruction,src_regs(USE),dst_regs(DEF),indirect_call,indirect_jump,is_ret,indirect_type,indirect_severity,dfi_violation,violation_reason
register_tm_clones,0x1180,jmp *%rax,rax,-,No,Yes,No,reg_based,high,WARNING,indirect jump reg_based target rax L1: defined at 0x1174; indirect jump reg_based target rax L2: defined at 0x1174; indirect jump reg_based target rax L3: defined at 0x1174
register_tm_clones,0x1182,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
register_tm_clones,0x1188,ret,rsp,rsp,No,Yes,Yes,ret,high,WARNING,ret target rsp L1: no local rsp definition
register_tm_clones,0x1189,nopl 0x0(%rax),-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x1190,endbr64,-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x1194,"cmpb $0x0,0x2ea5(%rip)",-,eflags,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x119b,jne 11c8 <__do_global_dtors_aux+0x38>,eflags,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x119d,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x119e,"cmpq $0x0,0x2e3a(%rip)",-,eflags,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x11a6,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x11a9,je 11b7 <__do_global_dtors_aux+0x27>,eflags,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x11ab,"mov 0x2e7e(%rip),%rdi",-,rdi,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x11b2,call 10b0 <__cxa_finalize@plt>,-,rax,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x11b7,call 1120 <deregister_tm_clones>,-,rax,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x11bc,"movb $0x1,0x2e7d(%rip)",-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x11c3,pop %rbp,rsp,rbp,No,No,No,-,none,OK,none
