jump_instr_address,jump_instr,instr_len,instr_content,instr_bytes,jump_type,parent_function_name,parent_function_start,target_address,target_function_name,target_function_start
0x288,callq,5,callq 28d <nfnetlink_unicast>,e8 00 00 00 00,函数调用,nfnetlink_unicast,0x250,0x28d,nfnetlink_unicast,0x250
0x2b0,callq,5,callq 2b5 <nfnetlink_broadcast>,e8 00 00 00 00,函数调用,nfnetlink_broadcast,0x2b0,0x2b5,nfnetlink_broadcast,0x2b0
0x2df,callq,5,callq 2e4 <nfnetlink_broadcast>,e8 00 00 00 00,函数调用,nfnetlink_broadcast,0x2b0,0x2e4,nfnetlink_broadcast,0x2b0
0x2f3,callq,5,callq 2f8 <nfnetlink_broadcast>,e8 00 00 00 00,函数调用,nfnetlink_broadcast,0x2b0,0x2f8,nfnetlink_broadcast,0x2b0
0x310,callq,5,callq 315 <nfnetlink_net_exit_batch>,e8 00 00 00 00,函数调用,nfnetlink_net_exit_batch,0x310,0x315,nfnetlink_net_exit_batch,0x310
0x31b,je,2,je 364 <nfnetlink_net_exit_batch>,74 47,条件跳转,nfnetlink_net_exit_batch,0x310,0x364,nfnetlink_net_exit_batch,0x310
0x33e,callq,5,callq 343 <nfnetlink_net_exit_batch>,e8 00 00 00 00,函数调用,nfnetlink_net_exit_batch,0x310,0x343,nfnetlink_net_exit_batch,0x310
0x347,callq,5,callq 34c <nfnetlink_net_exit_batch>,e8 00 00 00 00,函数调用,nfnetlink_net_exit_batch,0x310,0x34c,nfnetlink_net_exit_batch,0x310
0x357,jne,2,jne 32d <nfnetlink_net_exit_batch>,75 d4,条件跳转,nfnetlink_net_exit_batch,0x310,0x32d,nfnetlink_net_exit_batch,0x310
0x370,callq,5,callq 375 <nfnetlink_rcv_msg>,e8 00 00 00 00,函数调用,nfnetlink_rcv_msg,0x370,0x375,nfnetlink_rcv_msg,0x370
0x3a9,jbe,6,jbe 527 <nfnetlink_rcv_msg>,0f 86 78 01 00 00,条件跳转,nfnetlink_rcv_msg,0x370,0x527,nfnetlink_rcv_msg,0x370
0x40b,jg,6,jg 54d <nfnetlink_rcv_msg>,0f 8f 3c 01 00 00,条件跳转,nfnetlink_rcv_msg,0x370,0x54d,nfnetlink_rcv_msg,0x370
0x415,ja,6,ja 698 <nfnetlink_rcv_msg>,0f 87 7d 02 00 00,条件跳转,nfnetlink_rcv_msg,0x370,0x698,nfnetlink_rcv_msg,0x370
0x429,je,6,je 54d <nfnetlink_rcv_msg>,0f 84 1e 01 00 00,条件跳转,nfnetlink_rcv_msg,0x370,0x54d,nfnetlink_rcv_msg,0x370
0x43a,jae,6,jae 51d <nfnetlink_rcv_msg>,0f 83 dd 00 00 00,条件跳转,nfnetlink_rcv_msg,0x370,0x51d,nfnetlink_rcv_msg,0x370
0x44b,je,6,je 51d <nfnetlink_rcv_msg>,0f 84 cc 00 00 00,条件跳转,nfnetlink_rcv_msg,0x370,0x51d,nfnetlink_rcv_msg,0x370
0x470,callq,5,callq 475 <nfnetlink_rcv_msg>,e8 00 00 00 00,函数调用,nfnetlink_rcv_msg,0x370,0x475,nfnetlink_rcv_msg,0x370
0x4db,ja,6,ja 673 <nfnetlink_rcv_msg>,0f 87 92 01 00 00,条件跳转,nfnetlink_rcv_msg,0x370,0x673,nfnetlink_rcv_msg,0x370
0x4f5,callq,5,callq 4fa <nfnetlink_rcv_msg>,e8 00 00 00 00,函数调用,nfnetlink_rcv_msg,0x370,0x4fa,nfnetlink_rcv_msg,0x370
0x4fd,js,6,js 682 <nfnetlink_rcv_msg>,0f 88 7f 01 00 00,条件跳转,nfnetlink_rcv_msg,0x370,0x682,nfnetlink_rcv_msg,0x370
0x509,je,2,je 51d <nfnetlink_rcv_msg>,74 12,条件跳转,nfnetlink_rcv_msg,0x370,0x51d,nfnetlink_rcv_msg,0x370
0x512,je,6,je 5c5 <nfnetlink_rcv_msg>,0f 84 ad 00 00 00,条件跳转,nfnetlink_rcv_msg,0x370,0x5c5,nfnetlink_rcv_msg,0x370
0x51b,je,2,je 58c <nfnetlink_rcv_msg>,74 6f,条件跳转,nfnetlink_rcv_msg,0x370,0x58c,nfnetlink_rcv_msg,0x370
0x51d,callq,5,callq 522 <nfnetlink_rcv_msg>,e8 00 00 00 00,函数调用,nfnetlink_rcv_msg,0x370,0x522,nfnetlink_rcv_msg,0x370
0x534,jne,6,jne 6ac <nfnetlink_rcv_msg>,0f 85 72 01 00 00,条件跳转,nfnetlink_rcv_msg,0x370,0x6ac,nfnetlink_rcv_msg,0x370
0x54d,callq,5,callq 552 <nfnetlink_rcv_msg>,e8 00 00 00 00,函数调用,nfnetlink_rcv_msg,0x370,0x552,nfnetlink_rcv_msg,0x370
0x561,callq,5,callq 566 <nfnetlink_rcv_msg>,e8 00 00 00 00,函数调用,nfnetlink_rcv_msg,0x370,0x566,nfnetlink_rcv_msg,0x370
0x56a,jg,2,jg 51d <nfnetlink_rcv_msg>,7f b1,条件跳转,nfnetlink_rcv_msg,0x370,0x51d,nfnetlink_rcv_msg,0x370
0x570,ja,6,ja 6b1 <nfnetlink_rcv_msg>,0f 87 3b 01 00 00,条件跳转,nfnetlink_rcv_msg,0x370,0x6b1,nfnetlink_rcv_msg,0x370
0x584,jne,6,jne 42f <nfnetlink_rcv_msg>,0f 85 a5 fe ff ff,条件跳转,nfnetlink_rcv_msg,0x370,0x42f,nfnetlink_rcv_msg,0x370
0x58a,jmp,2,jmp 51d <nfnetlink_rcv_msg>,eb 91,无条件跳转,nfnetlink_rcv_msg,0x370,0x51d,nfnetlink_rcv_msg,0x370
0x5a1,callq,5,callq 5a6 <nfnetlink_rcv_msg>,e8 00 00 00 00,函数调用,nfnetlink_rcv_msg,0x370,0x5a6,nfnetlink_rcv_msg,0x370
0x5ac,callq,5,callq 5b1 <nfnetlink_rcv_msg>,e8 00 00 00 00,函数调用,nfnetlink_rcv_msg,0x370,0x5b1,nfnetlink_rcv_msg,0x370
0x5ba,je,6,je 407 <nfnetlink_rcv_msg>,0f 84 47 fe ff ff,条件跳转,nfnetlink_rcv_msg,0x370,0x407,nfnetlink_rcv_msg,0x370
0x5c5,callq,5,callq 5ca <nfnetlink_rcv_msg>,e8 00 00 00 00,函数调用,nfnetlink_rcv_msg,0x370,0x5ca,nfnetlink_rcv_msg,0x370
0x5ce,ja,6,ja 6c5 <nfnetlink_rcv_msg>,0f 87 f1 00 00 00,条件跳转,nfnetlink_rcv_msg,0x370,0x6c5,nfnetlink_rcv_msg,0x370
0x5db,callq,5,callq 5e0 <nfnetlink_rcv_msg>,e8 00 00 00 00,函数调用,nfnetlink_rcv_msg,0x370,0x5e0,nfnetlink_rcv_msg,0x370
0x5e4,ja,6,ja 6d9 <nfnetlink_rcv_msg>,0f 87 ef 00 00 00,条件跳转,nfnetlink_rcv_msg,0x370,0x6d9,nfnetlink_rcv_msg,0x370
0x5f5,jne,2,jne 658 <nfnetlink_rcv_msg>,75 61,条件跳转,nfnetlink_rcv_msg,0x370,0x658,nfnetlink_rcv_msg,0x370
0x602,jae,2,jae 658 <nfnetlink_rcv_msg>,73 54,条件跳转,nfnetlink_rcv_msg,0x370,0x658,nfnetlink_rcv_msg,0x370
0x612,jne,2,jne 658 <nfnetlink_rcv_msg>,75 44,条件跳转,nfnetlink_rcv_msg,0x370,0x658,nfnetlink_rcv_msg,0x370
